Станция,Номер линии,Дата,4/3/2024,4/2/2024,4/1/2024,3/31/2024,3/30/2024,3/29/2024,3/28/2024,3/27/2024,3/26/2024,3/25/2024,3/24/2024,3/23/2024,3/22/2024,3/21/2024,3/20/2024,3/19/2024,3/18/2024,3/17/2024,3/16/2024,3/15/2024,3/14/2024,3/13/2024,3/12/2024,3/11/2024,3/10/2024,3/9/2024,3/8/2024,3/7/2024,3/6/2024,3/5/2024,3/4/2024,3/3/2024,3/2/2024,3/1/2024,2/29/2024,2/28/2024,2/27/2024,2/26/2024,2/25/2024,2/24/2024,2/23/2024,2/22/2024,2/21/2024,2/20/2024,2/19/2024,2/18/2024,2/17/2024,2/16/2024,2/15/2024,2/14/2024,2/13/2024,2/12/2024,2/11/2024,2/10/2024,2/9/2024,2/8/2024,2/7/2024,2/6/2024,2/5/2024,2/4/2024,2/3/2024,2/2/2024,2/1/2024,1/31/2024,1/30/2024,1/29/2024,1/28/2024,1/27/2024,1/26/2024,1/25/2024,1/24/2024,1/23/2024,1/22/2024,1/21/2024,1/20/2024,1/19/2024,1/18/2024,1/17/2024,1/16/2024,1/15/2024,1/14/2024,1/13/2024,1/12/2024,1/11/2024,1/10/2024,1/9/2024,1/8/2024,1/7/2024,1/6/2024,1/5/2024,1/4/2024,1/3/2024,1/2/2024,1/1/2024
Авиамотор-я КалЛ,14,КАЛИНИНСКАЯ,7323,3231,7755,3755,10198,3601,9659,9644,2368,16750,13273,4186,12715,1104,11398,8733,18321,4499,3811,4811,8056,5465,10678,5187,3189,3554,2177,8825,17473,7870,10853,13317,5815,11915,7114,9938,2144,9562,3002,7801,16582,16572,17014,5355,16457,16790,18588,10298,3896,8808,9476,16072,12158,3914,8785,6336,8361,7738,3011,1816,14516,15773,9235,2878,18989,15296,4671,3745,18000,1166,11469,4825,15259,19741,5225,12484,14576,7663,10520,5191,16687,5787,1539,9698,11376,14365,6740,14424,4058,14503,9844,5751,7699,5792
Площадь Ильича,14,КАЛИНИНСКАЯ,12612,9159,6188,18009,7328,4938,5883,2850,4177,8405,7305,3514,4007,9584,16382,9831,8229,18912,13488,12712,5320,4406,8420,12720,3141,2477,17257,13592,7237,1727,5985,14154,1061,12822,12876,8349,5917,19627,10292,15554,1304,7626,18480,15258,1413,3792,5165,7037,18045,2011,6316,5326,11057,7464,18877,7862,3726,12006,8247,12328,16582,13906,19472,12011,3914,11190,7641,13503,13471,19117,12915,7567,8898,1556,9078,11127,9222,7858,8480,9383,11966,16270,11864,2522,13331,9078,18259,9028,8372,17364,15297,10399,9014,17229
Марксистская,14,КАЛИНИНСКАЯ,3127,16896,3075,4262,3274,2701,14010,9325,16432,8920,18232,1007,1303,19218,16859,19968,11544,1831,7273,12752,19536,2644,15442,16000,8258,10551,4956,11691,9257,16382,14591,7342,5528,3349,18873,9622,6507,18907,19136,16938,11210,2603,4899,14542,12242,18812,17085,2442,13967,15910,4349,15067,11258,12077,10663,8340,19347,5191,6512,19572,13178,9715,3793,5559,12269,11771,12812,5499,7556,11319,12374,10841,14138,4258,11406,1696,11459,13459,6994,12676,4835,3168,13227,19287,4276,13154,13558,13335,16652,7422,9592,8502,12105,4253
Третьяковск.КалЛ,14,КАЛИНИНСКАЯ,14617,7100,7197,9751,16481,17287,16413,15114,11694,18488,17393,5958,17159,9909,19605,3230,4698,8971,12650,14290,2485,1645,15229,8868,18074,15377,6316,5853,5759,9654,11355,13376,6538,19109,2446,4716,11943,3663,13469,10625,7812,13974,1618,9105,13734,12375,16235,3249,7637,10430,15688,18893,9586,18990,3719,17095,8190,14755,1932,2433,15474,16110,7617,6310,9266,18105,14582,11730,4449,4059,3462,15928,5215,8619,1695,14851,14661,18378,11927,2551,19995,17531,10131,6386,5323,11309,4443,18422,9639,3761,13819,11658,4497,17588
Медведково,15,КАЛУЖСКО-РИЖСКАЯ,15115,13346,14873,5300,17368,14527,11337,17839,18983,14316,5055,13263,1253,5016,6534,13586,5965,6962,6682,2041,9593,3141,12620,4631,1840,19731,13464,16926,12059,9987,19335,4381,7293,1733,10163,14169,5503,9851,2232,6342,15884,1678,8856,9926,6544,13778,13250,13827,6506,3043,3860,6795,16775,11219,3271,9302,8815,8114,19984,13360,16118,3999,12985,7632,13484,18691,9067,5815,11181,18222,6156,1201,10783,17348,1521,17363,1449,16176,3325,5425,1856,13729,16297,6076,17629,18071,18347,18868,7623,15354,1527,4085,5174,17970
Бабушкинская,15,КАЛУЖСКО-РИЖСКАЯ,5477,14742,9831,10063,5421,3090,11327,16274,15676,10584,19583,16926,15316,17696,19783,17406,19172,6185,10910,5642,16431,1328,10492,18663,7875,19639,15709,7806,19134,18962,10450,16154,16780,2639,17389,11131,13136,4861,7637,16750,18465,1419,4322,8661,13795,4380,15155,7832,13889,3036,4582,9246,8848,2734,16844,4614,10516,9072,15977,5011,14709,18435,5719,16848,15336,19864,17816,19193,12345,11664,17708,19240,14086,15852,12496,6138,8915,16773,12155,11714,17875,16773,12179,13377,2409,14502,5101,3383,14946,17896,7145,3408,11289,3974
Свиблово,15,КАЛУЖСКО-РИЖСКАЯ,14790,9181,19850,15255,4222,7629,8120,18245,12638,11497,15799,17247,18113,19893,14137,10966,4107,4392,13084,3013,9055,19620,8355,19634,12528,6447,13074,12114,17518,16053,9732,11785,2495,8995,3909,14494,6533,18253,18666,4282,1284,15514,9319,7830,11850,1952,4675,2348,5432,8350,9878,8533,17151,2018,4768,4909,7756,15718,7763,2254,9773,7908,9668,10770,8399,18722,14345,15300,15126,1622,8630,19496,13197,11528,13596,6789,2349,2253,17134,12420,15734,4451,5954,10800,17453,6387,13679,1518,3402,14230,9290,7796,5307,10287
Ботанический сад,15,КАЛУЖСКО-РИЖСКАЯ,11293,6110,9268,10097,13779,4878,15950,13620,1613,6899,12616,18074,2724,10324,17793,8462,12481,3712,15802,18268,1388,7179,18049,8131,12106,3250,19208,13132,5770,7701,15743,9647,13105,9690,7259,16030,8015,6740,7987,14693,5860,11203,17789,5032,4347,7847,11615,14863,12346,2446,6395,19306,7199,12969,6224,4676,16683,4129,18971,4623,14907,14106,15425,6663,18423,3244,8283,18490,4773,8044,10585,18058,18577,12759,10951,15787,9108,7014,1827,15381,12667,10274,13955,6379,18975,4484,15920,11037,17415,15960,14600,4179,15059,5572
ВДНХ,15,КАЛУЖСКО-РИЖСКАЯ,2798,2074,18313,1932,17129,16715,18147,2594,15114,6837,2441,15558,1885,16699,15812,16456,6566,5219,4538,11485,4987,12517,6606,3678,15767,19175,4351,7109,13950,12680,10312,2823,15498,7522,19718,14135,13625,7793,18239,7476,2726,6032,9511,6075,7380,1369,13271,2824,7395,11700,5823,17298,10781,6775,9112,11314,19682,13396,18363,15130,16513,2738,10794,14831,13391,16494,9525,6059,10071,19076,8097,17309,4259,13138,16453,7166,8370,14366,13396,16355,18095,1210,11960,16327,4592,15999,14781,17132,3075,18011,19349,10851,1754,16479
Алексеевская,15,КАЛУЖСКО-РИЖСКАЯ,7282,6555,5998,5762,17590,15228,19749,1452,18378,14700,17981,6791,7109,2020,5600,1657,10373,5924,4263,18009,13496,3107,17144,19343,6439,7554,12253,14085,9356,7376,18783,14497,13901,5020,12983,13118,19873,16916,19729,8220,18627,16493,8619,10778,9147,7253,8698,8006,9988,10719,15095,13897,10317,3271,3395,7013,1435,13388,15334,14407,6987,7425,9461,11807,1136,18365,8112,1325,16731,16117,14392,16878,12392,15697,1603,17238,5869,19722,13850,2423,12027,11116,6174,2956,13575,14426,13345,11597,13364,19936,15225,4592,2423,9703
Рижская,15,КАЛУЖСКО-РИЖСКАЯ,3015,5114,16842,10070,14767,14247,16296,6387,7805,19059,3962,6349,2252,14544,2195,1393,18199,2054,1403,2286,16385,17565,12073,12921,14470,10625,8777,5565,2907,17170,7526,12220,18030,9833,16337,7113,10723,18910,2200,19452,19768,17598,1908,14513,5622,13733,3681,16639,1636,4841,7671,6169,11713,19482,13970,12870,16142,7559,8241,10422,9964,5350,12732,18220,17964,6603,16205,1458,1216,9077,12382,5146,2760,9389,15983,18127,18244,10949,16331,3180,13572,16887,6535,19279,19378,8332,6839,6123,6245,6800,6050,12331,7665,6429
Пр-кт Мира КРЛ,15,КАЛУЖСКО-РИЖСКАЯ,15865,8532,9108,6533,15974,5129,9789,3241,13722,2301,11233,5629,1745,10779,16368,18041,2198,3198,14783,11495,2252,17087,1742,9890,4151,6083,2355,2310,8340,6663,17681,14619,7270,7158,19184,19867,9941,5887,18848,14376,14626,14858,2129,4096,6428,3526,17877,12860,9497,1839,8773,1769,12748,4992,11330,14180,12031,15983,7871,16917,12818,4978,9864,7773,19307,10196,14533,13212,17751,8282,10984,14109,5648,4653,13427,6642,2184,15464,11275,8600,18718,19528,13282,14116,1346,15199,19815,15739,3677,5295,14024,10196,13928,9311
Сухаревская,15,КАЛУЖСКО-РИЖСКАЯ,10993,1483,13121,7039,3161,13949,2521,6728,9354,13552,13855,2659,4193,5997,19348,2279,17598,8130,16534,8693,4923,2693,9475,17376,2192,4798,1219,11335,7462,7419,6649,18206,6321,8823,15950,18637,8505,9227,10417,12282,17331,10763,8714,3196,15570,18835,14574,19129,6667,17698,16949,9850,6275,10284,11583,14475,4315,12888,5037,5227,8888,17964,12907,14062,14978,2115,11023,18384,11223,9829,1856,14006,11017,2158,9559,7794,16000,18690,11794,17917,17181,8925,18253,2678,11599,1930,2099,4130,18625,1852,18410,15096,14814,15458
Тургеневская,15,КАЛУЖСКО-РИЖСКАЯ,13522,8122,15426,2044,9027,17298,16138,7822,6767,6687,19554,18665,16232,17599,1971,16334,3457,9800,5377,6463,19656,17930,14909,1913,19888,8645,8846,13735,1919,3707,16600,9025,2174,9432,3978,10295,12745,7763,3664,9823,2240,3008,5907,18318,18191,6145,2451,8556,8531,15171,7421,14057,4328,16155,10462,5757,8761,16463,11952,8312,12118,11567,2042,16289,13632,2782,3230,9540,19595,6627,16219,18345,4717,4566,14567,14406,18675,2227,16400,11692,13952,10071,10720,1495,18468,14152,18332,18126,8502,6300,4768,6010,17028,4161
Китай-город КРЛ,15,КАЛУЖСКО-РИЖСКАЯ,15940,1296,10609,18347,11067,4147,15050,1266,12307,13539,17032,13100,19375,10451,7310,11157,10021,9349,15972,2668,19177,8894,2735,19808,19846,10905,18786,3036,3631,13872,5710,2904,10037,6985,3898,13481,17114,6812,6611,14990,1761,17226,19913,1347,3301,17721,17251,1272,1905,7872,10015,12343,1346,14449,18478,16767,3518,7092,13814,5479,10240,3825,8611,9655,11477,11716,14335,14498,4704,6453,17098,1590,9448,9665,12656,18929,14026,18736,18314,9317,1210,16410,11668,8892,9178,15753,13247,18845,6961,14015,13870,11520,19129,13983
Третьяковск. КРЛ,15,КАЛУЖСКО-РИЖСКАЯ,16219,1154,7655,14237,17457,2973,5459,19994,12171,10764,14836,18502,11767,13539,18861,4918,5916,10999,12525,19681,4403,9648,7018,15229,12541,2797,19437,6678,2189,4570,18702,1238,4105,15519,14216,7670,9619,5273,18567,8785,4092,18142,10839,7097,11508,16124,18565,2122,7636,10551,18608,3922,6864,14274,13819,5158,12770,18253,9270,9998,10792,12488,19833,4935,7326,4812,7911,11370,6124,14599,5014,2488,14515,6394,11549,16193,6114,19069,3688,3051,16779,2955,2772,15273,17092,12455,18092,2518,6311,11673,6559,11678,14731,4780
Октябрьская КРЛ,15,КАЛУЖСКО-РИЖСКАЯ,18251,16687,16258,12224,8148,16330,16190,4846,16464,12384,16838,16188,8060,6758,15412,18762,2871,16413,3071,18127,14611,16599,4383,11229,9346,14582,18002,4978,10488,3736,3216,3434,12637,4819,8031,8533,16135,2023,17033,9925,5406,18146,15404,10557,6193,15812,2798,14666,6980,16154,17486,17080,2359,6787,17569,15218,4868,11110,4902,13268,6511,5521,7722,12545,2548,8999,14423,3959,14732,7468,13613,7139,11413,17222,13642,15172,16668,11099,6526,1306,13623,2030,12122,6130,6136,4982,6163,7097,13500,11796,2236,3100,7012,17827
Шаболовская,15,КАЛУЖСКО-РИЖСКАЯ,5552,13443,15797,9321,17042,3371,9749,19843,12190,18961,7253,18214,19918,5661,11002,1629,6025,8531,12025,6314,14960,8520,10842,19913,10103,4627,15885,3544,7873,3762,7337,18978,14308,9849,15547,19653,11233,10731,7851,15153,10696,18910,14216,7103,9882,11363,13440,5812,13725,12831,3869,4111,14569,3828,8191,3588,9345,8912,12865,6152,16196,19580,7217,3701,2786,3765,1153,4054,8701,5403,13102,1666,17702,2356,3461,10668,4521,16771,4863,15530,17116,5617,19030,18938,3406,14458,4545,14993,6071,10600,18636,9354,10585,1528
Ленинский пр-т,15,КАЛУЖСКО-РИЖСКАЯ,8503,17874,10056,2209,19900,16507,19723,11657,16876,19569,18423,5078,3464,7389,9534,14451,2770,14824,2660,17030,7133,15616,17339,2832,5802,10980,4762,1299,16423,13367,13269,2529,5796,9508,6764,11931,19184,6466,13405,15527,17450,19469,1896,16149,9826,1609,17211,3248,18631,6696,9992,7320,4710,2965,6522,13610,18134,7685,8450,10346,12263,3383,3588,9055,17871,14901,10855,1208,19337,12331,14379,2860,1154,5016,17131,14948,4073,1241,18435,11955,12360,11862,16480,13820,3003,9457,9815,18321,10591,14790,4037,10163,4395,4402
Академическая,15,КАЛУЖСКО-РИЖСКАЯ,11510,13693,1514,18341,1986,9977,1568,19738,6724,10127,11851,9383,4779,5374,1454,10737,19044,14554,17145,11273,13531,16116,4357,12392,4564,14774,17639,12712,16369,7894,2157,9232,13714,15839,14156,19280,5238,5757,6260,2999,10807,9874,19986,3888,18903,12937,9072,3684,3543,17379,19103,5337,3956,12564,18391,17600,18921,13398,6850,5039,18873,7970,13552,1347,4580,10676,18080,12213,16543,5689,16621,17862,17279,15853,10265,17831,12081,2788,13077,15209,5414,7709,11278,18483,5977,4643,17201,10767,3111,1086,8135,4970,17416,13079
Профсоюзная,15,КАЛУЖСКО-РИЖСКАЯ,7080,1518,15184,15988,15920,16281,1240,14110,9768,6571,7798,19382,17506,8782,2053,16488,6139,14131,10242,7798,4636,6235,4615,11014,7752,8435,16742,18455,13219,6755,18086,14652,8391,16664,2383,10389,14578,11304,4810,16368,14587,4150,18520,5094,3701,2416,10866,19172,6094,18795,3704,16581,17541,9578,19384,9607,15183,9387,19624,5845,4809,15107,19629,5154,8034,8668,19393,19821,19130,7004,6276,15920,5750,7567,9730,18854,9624,7574,8656,1013,4490,9379,6428,9103,2366,15473,7482,4354,12411,1544,7831,18460,10263,1412
Новые Черёмушки,15,КАЛУЖСКО-РИЖСКАЯ,10550,15800,4206,16161,3551,13936,13191,3661,18678,7347,13401,10382,8604,6780,7346,12601,2841,13438,3287,19964,6585,9940,15574,15711,5888,8500,19933,1405,16260,18231,14953,19810,13386,16504,1692,12770,2536,7661,9016,6549,3186,12568,11301,16691,19841,11436,8861,17599,1638,14966,5719,6611,8680,10810,15450,18101,12247,5945,2732,14554,1068,2872,19488,15754,12003,8218,17087,6374,8353,7528,18978,5806,2390,11012,15545,8940,2486,5064,17938,4691,6259,8357,8689,14301,9112,6248,2653,11093,3279,13113,16827,14053,14874,6126
Калужская,15,КАЛУЖСКО-РИЖСКАЯ,9554,11542,9648,1175,10548,15165,13111,13270,4125,5315,8663,3043,18382,13247,17438,15994,9467,3397,8010,6593,6246,5416,18837,4287,7043,1813,19990,11775,2002,14156,17233,11657,8175,14773,15695,19454,9950,8778,19358,1825,3984,1454,10392,11710,18314,5230,7091,7591,19487,2530,14512,18062,16714,16531,3986,3099,8361,2344,1497,15529,11624,11214,17691,14843,8370,8222,2463,3833,4590,9522,15198,8009,7516,5571,4125,7313,10332,19605,7458,12450,10742,5149,17420,11026,3266,7233,17741,15788,3836,11468,16716,10370,6141,3395
Беляево,15,КАЛУЖСКО-РИЖСКАЯ,16936,11342,2441,5024,14766,16893,4380,6242,6751,14987,14248,17134,8189,1607,19540,15497,4147,7305,4705,16815,12601,11309,16266,9634,3197,4704,15613,3280,15736,13274,1360,6860,9734,10800,18746,14281,15293,14121,12770,5304,9896,7041,16812,9907,18881,5600,4429,13044,6782,5022,10597,8326,16379,3910,11925,11151,1015,12394,3874,18660,2733,7694,6621,4495,15387,13343,11606,15257,19806,10713,16439,16606,9597,5066,11721,12317,16502,12010,18855,16843,11586,5055,14281,3048,17455,2132,14060,10510,6233,12914,5201,15223,8795,5426
Коньково,15,КАЛУЖСКО-РИЖСКАЯ,1409,6433,19110,13409,17315,7926,3610,1706,5441,6084,14121,17209,7533,15178,2772,10427,10800,10080,17423,7331,5710,12479,11056,2918,2498,7207,1195,8458,2921,4900,4518,7280,8535,14657,1177,3171,8148,5231,16414,7941,17857,4857,11796,14920,3902,8030,16177,10457,1124,2290,11011,1729,19737,15198,18955,16890,16024,11694,3459,18199,7872,18568,15021,16994,11666,14973,5127,15415,2159,9505,18299,3183,4859,4019,3934,8215,8435,14750,16290,11037,17317,7806,17650,5817,18150,4504,7494,2041,7283,5709,9289,4286,3773,4420
Тёплый стан,15,КАЛУЖСКО-РИЖСКАЯ,2596,7466,6640,5844,10457,13658,15502,13541,3873,16995,8327,14744,1640,8822,16969,1628,8139,1377,16854,10213,5251,18721,10448,17540,10342,18711,9156,12700,10179,10800,1408,7664,1923,10497,18704,4732,2214,12978,4799,6807,13213,11412,9604,16393,1756,3334,16931,16201,7321,5297,10234,3858,15819,10810,11550,18678,16443,4688,16374,6596,19352,2860,17804,6822,5268,19512,17556,2955,4997,8298,18467,14635,19527,11386,9800,12335,12868,7033,1957,11271,9984,12066,13932,2763,10802,7299,11906,5237,1047,13256,9649,7119,6991,14745
Ясенево,15,КАЛУЖСКО-РИЖСКАЯ,5297,12474,8718,9942,17024,5392,13306,3544,6296,13977,7268,3671,2843,15176,6746,1654,5478,7333,7535,4528,7590,7640,9485,7717,10235,11940,16417,9906,2011,5801,9816,2345,8670,4605,7448,11628,18376,7413,16150,1663,9451,5896,15858,17604,19539,6165,2242,19361,12699,18864,14604,6145,1643,19728,17943,1394,2053,6808,3464,9891,12274,19758,16767,15338,1194,4218,9785,16394,19310,13266,10445,15918,13506,9010,8150,4888,12752,11224,19932,19884,18744,15271,11159,16456,14505,2511,8170,6319,11288,12949,13852,16619,10822,15004
Новоясеневская,15,КАЛУЖСКО-РИЖСКАЯ,4978,11298,2385,2528,17825,1868,1216,10595,4256,18406,5992,9832,5597,13647,11434,9708,5980,13208,6328,18670,16667,1276,12507,4325,4963,2873,1058,4082,4593,17004,4765,18015,9694,16384,13761,11218,12625,6265,3084,10933,2170,3939,2312,7901,9117,17636,3214,2710,8630,5139,5869,19918,13142,18591,11414,13283,8613,8949,19863,19426,14775,13278,14443,1058,3073,14357,18886,7641,15288,13840,15004,14061,10470,14714,8517,3112,17098,6710,17605,7661,9548,9692,10136,7343,5275,4088,17587,19905,13501,7122,18170,15477,19467,13051
Выхино,16,ТАГАНСК-КРАСНОПР,17940,9412,1784,19014,7349,10617,10856,5133,1143,7966,7684,1174,3938,7532,4333,6471,1098,12838,13417,12224,14842,2966,5942,17641,13822,1999,11240,7286,17421,3162,7545,7063,12233,7483,4197,15985,1122,9608,14226,14523,1248,3930,4580,8043,16906,18951,18732,13918,1733,5189,4843,11471,6980,5620,1174,18983,7911,9247,16854,2167,10627,12055,17395,5337,4772,7813,3933,1647,12833,6074,19728,16791,7320,5026,7559,4922,18892,4182,11996,14703,5600,8164,11258,19108,18110,11865,5601,8440,6550,6867,19376,17670,12859,9025
Рязанский пр-т,16,ТАГАНСК-КРАСНОПР,4897,14048,12730,7522,7582,6935,7178,6979,2250,9324,19168,9097,17942,3770,12328,3545,1965,15935,16986,17764,2310,4872,19648,18393,14320,18478,2256,5847,9297,13359,18254,2635,17851,16893,4816,5181,16771,1213,3566,1342,5526,10804,16453,16364,14440,10396,11303,14988,11683,17036,17430,11851,16785,2568,2175,8988,7007,16733,11715,8810,4043,6715,12291,10607,3040,11799,1880,9537,7161,11744,4342,11954,2183,5231,16202,5821,16798,1093,10458,7493,12299,9388,14539,9941,3438,12649,7100,16264,14680,7296,19051,19009,13088,16485
Кузьминки,16,ТАГАНСК-КРАСНОПР,7290,11596,8895,19552,5140,7084,16861,2063,11097,13972,6410,5466,6457,18373,11686,6187,11500,15766,7379,14845,15251,10431,13371,15374,1193,4750,2026,11429,3090,16395,13850,7741,2197,18336,3313,15929,8016,14905,18977,2865,17013,1125,15362,12612,16717,12904,18179,6873,3089,15192,13245,3028,9653,15912,11105,19866,5214,18235,4603,17493,17747,6871,1062,13512,19122,17952,1032,10278,6375,3874,18301,19746,13362,19281,15068,15670,11801,7453,2869,14869,2124,3501,1362,7835,3305,7548,16397,2234,2861,14043,15032,17207,19819,3475
Текстильщики ТКЛ,16,ТАГАНСК-КРАСНОПР,12552,1118,7472,15795,13681,1788,9197,15449,2233,6023,4202,12691,11961,18210,11511,13314,10870,18810,9988,6441,18454,9940,11630,1427,14630,16500,2808,7931,5822,1252,11684,9918,1921,4988,19277,11604,3083,10718,8658,10061,6249,2208,14670,15759,12232,11802,18196,18760,4102,17794,14940,10519,15813,11675,2622,5185,8245,12510,9979,15881,3808,3794,9635,14422,8017,12533,16331,17672,1517,19207,9260,6794,19326,14846,18310,13554,17776,3530,15781,13987,14040,1869,6791,2638,10170,1020,16906,14203,19585,7875,5999,4897,4280,18931
Волгоградский пр,16,ТАГАНСК-КРАСНОПР,15125,17169,6084,15307,8223,10776,19480,15977,14924,14694,1396,4717,1628,17992,19979,19462,7070,13905,13993,13513,5337,18046,11829,1744,9565,3042,2581,12319,5820,16297,4783,11495,5227,18273,16260,10233,18903,19742,18329,17253,2732,7676,17232,2644,2969,15476,15470,16963,1219,16723,7922,14377,13145,15308,15960,14991,15024,3906,17156,13768,11090,18738,12470,9929,7746,16826,10548,1780,6762,16724,4021,12298,2945,13635,13718,8083,3099,6103,14083,15334,4265,5412,11266,3073,8229,13892,11223,12450,6200,7562,12309,12690,8666,2740
Пролетарская,16,ТАГАНСК-КРАСНОПР,5906,8993,10943,19791,3661,4172,18537,8890,4739,10863,10382,8097,10716,10670,11762,18318,7444,2080,17678,8227,4747,6654,19286,15726,1638,5158,4039,18446,19122,5647,16371,4971,2709,15514,6741,8749,7188,9334,11313,13899,9169,17229,5563,14363,5140,19411,3225,13820,14968,6313,19139,12699,9810,15272,5229,3775,17423,2910,16828,2557,13199,6820,14981,14370,18911,7981,6430,1437,5150,14088,16282,4517,11939,11230,17067,1612,17891,15643,2668,4158,11887,7690,7460,1308,14269,10540,17880,9386,12607,4044,12599,7280,18388,15184
Таганская ТКЛ,16,ТАГАНСК-КРАСНОПР,9233,14311,4681,3098,4409,8497,6573,5373,4624,3912,13894,12135,11479,17449,10612,9960,19234,10634,14239,1166,5835,7606,9496,11983,17282,12835,7137,7662,14012,10344,3107,3969,9745,4222,17132,7205,8125,8108,14491,4353,4768,17301,9893,17404,9893,5585,5387,2380,10149,4273,4875,10981,6316,18342,13617,6759,13741,7860,12734,7011,17654,11903,2930,8598,8121,4161,17892,7551,16816,18663,8926,9254,6493,2274,13707,1914,6433,1815,13843,4040,10007,5377,8995,18469,10843,18605,8511,17810,6083,9638,12304,1029,4405,15766
Китай-город(Т-К),16,ТАГАНСК-КРАСНОПР,10502,13453,19760,15653,2485,17866,5848,12311,14297,12834,16388,1379,1840,1627,13431,11836,15823,19922,6521,7592,6725,18295,5066,13578,13958,18231,6369,19306,11142,12818,10857,6623,19589,6377,16618,8293,5445,15008,8626,2765,14812,3278,11554,11557,9008,12639,18167,9573,11002,4820,9693,18358,15901,11863,15565,2553,6039,18124,14188,3429,6552,2934,13367,3366,4947,1114,3135,6174,12907,3107,1631,7637,6031,18889,9019,2600,5331,19976,5121,5814,1387,16814,13883,16050,14260,18442,4853,10506,19874,8794,17846,16663,8047,15742
Кузнецкий мост,16,ТАГАНСК-КРАСНОПР,14629,19994,5948,16659,6424,9078,14225,14375,19414,17512,14198,18673,9443,2895,3520,11909,7141,4565,1467,17761,11341,9514,1775,18667,7660,3810,18012,10096,15435,14278,6818,11345,19770,3606,15675,17660,10609,15977,5317,19787,7439,8091,13657,13266,14168,5847,3326,18551,12410,4639,5346,7389,15082,14803,3678,5550,6739,7132,1347,4699,17268,1401,8901,10789,14132,1143,5857,13418,4071,13739,7960,15579,4372,7904,3085,3614,8887,5859,2886,16461,9859,15482,18160,7438,7524,9376,12288,16958,15869,4187,18546,8561,6637,18206
Пушкинская,16,ТАГАНСК-КРАСНОПР,7983,18052,12996,16776,6456,18016,6243,13701,10434,11149,10564,17534,9479,13673,13368,5893,4278,4787,18581,14053,4712,15799,18826,18261,16682,12305,1976,2364,10391,19052,12783,17513,11656,6583,10347,9791,13048,11999,11091,4550,16767,5653,14233,18994,15731,1968,4141,13935,2628,1548,14562,17830,18518,12569,5634,13095,2410,10414,6262,6966,9810,10605,1271,18721,18301,16225,12184,17390,5845,11581,10322,14164,4207,16159,5997,16345,7623,1222,8338,13015,1455,3328,7781,18883,3684,5302,11991,11023,2869,5957,18936,7556,5798,17793
Баррикадная,16,ТАГАНСК-КРАСНОПР,19628,6893,6703,7032,16407,11573,9654,8056,5564,14511,10949,11017,4075,11638,15190,3299,12456,2847,19671,5656,3414,17041,9025,12489,6789,16552,9101,5728,16937,11007,11719,18729,3834,18799,14381,10847,13588,19984,2270,17470,6157,1723,4854,10936,13623,16200,15778,10092,13306,4453,3370,19400,1180,17074,4787,1171,12861,12211,17792,19205,14896,11513,15185,10978,16375,7299,7856,15611,8798,1224,13674,16800,15234,10833,8612,2392,7769,7568,9447,10276,6706,1047,18689,13153,17410,12881,6059,5831,9320,12484,3857,15715,9827,5792
Улица 1905 года,16,ТАГАНСК-КРАСНОПР,1336,7104,11264,14523,5425,17083,10383,6956,13937,8178,13044,14521,13769,2060,15962,6676,16015,10196,11279,4316,14142,18233,3908,6419,17580,19021,3002,12212,17994,11333,2661,7258,6636,8594,1772,12276,1898,12334,17728,11588,19180,6035,6939,10015,4414,16741,6776,15633,14686,10777,16034,19607,2520,13899,10383,5902,7085,3242,3243,6962,1072,14625,5250,1872,3564,11961,16187,3271,19528,2416,13237,9089,2704,2529,18631,1984,9942,7565,3404,4711,8914,12426,7827,2319,3395,4909,8484,3166,7643,12835,12353,3233,8090,17423
Беговая,16,ТАГАНСК-КРАСНОПР,14291,15218,19628,4448,14897,1277,8221,19302,11947,10454,10853,16011,17995,16903,17542,15846,9278,16204,1290,1992,13434,7157,14004,6534,4106,16370,6596,19602,5434,19539,3309,8220,7485,6365,10158,2713,14323,11334,19786,13322,3941,19295,12789,10046,8283,5988,13695,16579,13729,9803,7329,4552,1419,7155,17906,16771,3756,6968,15058,4626,11031,15362,16041,7811,11749,7844,2888,18291,2800,18402,17031,19318,15128,3251,16513,4388,10297,16185,11041,14901,3987,3028,10524,13962,2215,7769,2742,8441,10083,6274,2130,16286,1004,7567
Полежаевская,16,ТАГАНСК-КРАСНОПР,10389,1034,9804,4546,13199,9772,5978,19372,8808,5156,4937,18671,9345,13588,8316,7692,4241,16758,17324,10788,10767,1794,1133,15418,11435,13164,7767,2798,6210,8007,4418,13133,19136,5089,2928,1351,13974,17554,13273,4956,1396,18776,17522,6933,2144,13147,13405,5871,1652,11114,1415,15120,14148,6732,17032,18441,1823,13388,19438,8291,13655,1867,9643,15764,2145,10502,17880,2370,10048,3028,6781,17283,17064,15516,17832,19098,18182,10308,8818,1757,7368,1137,18970,18112,12616,13770,16500,14858,17185,6379,15609,1746,17098,19970
